year,bill,bill_status_id,latest_update_chamber,latest_update_text
2025,HB1497 HD1 SD1,crossoverWaiting2,S,The committee(s) on AEN has scheduled a public hearing on 03-10-25 1:01PM; Conference Room 224 & Videoconference.
2025,HB1500 HD1,waiting2,H,"Bill scheduled to be heard by EDN on Tuesday, 02-11-25 2:01PM in House conference room 309 VIA VIDEOCONFERENCE."
2026,HB1518,passedCommittees,S,"The committee(s) on JDC recommend(s) that the measure be PASSED, UNAMENDED.  The votes in JDC were as follows: 5 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2026,HB1561,waiting2,H,"Bill scheduled to be heard by EDN on Tuesday, 02-10-26 2:15PM in House conference room 309 VIA VIDEOCONFERENCE."
2026,HB1570,introduced,H,"Referred to AGR/EEP, CPC, FIN, referral sheet 1"
2026,HB1571,deferred2,H,The committee(s) on CPC recommend(s) that the measure be deferred.
2026,HB1572,crossoverWaiting2,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2026,HB1585,introduced,H,"Referred to HSH, ECD, FIN, referral sheet 1"
2026,HB1596,crossoverWaiting1,H,"Reported from FIN (Stand. Com. Rep. No. 997-26), recommending passage on Third Reading."
2026,HB1601,crossoverWaiting2,H,"Forty-eight (48) hours notice Tuesday,  03-10-26."
2026,HB1602,deferred2,H,"Bill scheduled to be heard by AGR on Wednesday, 02-11-26 9:30AM in House conference room 325 VIA VIDEOCONFERENCE."
2026,HB1603,crossoverDeferred2,S,The committee on JDC deferred the measure.
2026,HB1604,crossoverWaiting2,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2026,HB1605,passedCommittees,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB1606,waiting2,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with Representative(s) Alcos, Gedeon, Matsumoto, Reyes Oda, Shimizu voting aye with reservations; Representative(s) Amato, Garcia, Muraoka, Perruso, Pierick voting no (5) and Representative(s) Kitagawa excused (1)."
2026,HB1611,deferred2,H,"Bill scheduled to be heard by ECD on Wednesday, 02-11-26 8:30AM in House conference room 423 VIA VIDEOCONFERENCE."
2026,HB1616,crossoverWaiting2,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Iwamoto voting no (1) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2026,HB1617,waiting2,H,"Reported from EEP/AGR (Stand. Com. Rep. No. 452-26) as amended in HD 1, recommending passage on Second Reading and referral to FIN."
2026,HB1621,waiting2,H,"The committee on EEP recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 6 Ayes: Representative(s) Lowen, Perruso, Chun, Kahaloa, Kusch, Matsumoto; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Quinlan."
2026,HB1652,deferred2,H,"The committee on WAL recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 9 Ayes: Representative(s) Hashem, Morikawa, Belatti, Ichiyama, Poepoe, Woodson, Souza; Ayes with reservations: Representative(s) Iwamoto, Shimizu;  Noes: none; and  Excused: none."
2026,HB1699,introduced,H,This measure has been deleted from the meeting scheduled on Tuesday 02-03-26 9:00AM in conference room 329 VIA VIDEOCONFERENCE.
2026,HB1703,waiting3,H,"Reported from WAL (Stand. Com. Rep. No. 53-26) as amended in HD 1, recommending passage on Second Reading and referral to CAA."
2026,HB1707,passedCommittees,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB1737,passedCommittees,S,"The committee(s) on  JDC recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDC were as follows: 5 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2026,HB1738,crossoverDeferred1,H,"Reported from JHA (Stand. Com. Rep. No. 1197-26) as amended in HD 2, recommending passage on Third Reading."
2026,HB1747,deferred1,H,The committee(s) on HSH recommend(s) that the measure be deferred.
2026,HB1754,introduced,H,"Referred to ECD, HLT, FIN, referral sheet 1"
2026,HB1766,introduced,H,"Referred to AGR/EEP, FIN, referral sheet 1"
2026,HB1779,crossoverWaiting1,H,"Passed Third Reading with Representative(s) Alcos voting aye with reservations; Representative(s) Garcia, Shimizu voting no (2) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2025,HB180,introduced,H,"Referred to HSH, ECD, FIN, referral sheet 1"
2026,HB1817,waiting2,H,"Reported from WAL (Stand. Com. Rep. No. 710-26) as amended in HD 1, recommending passage on Second Reading and referral to JHA."
2026,HB1823,passedCommittees,S,"The committee(s) on  JDC recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDC were as follows: 5 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2026,HB1828,deferred1,H,The committee(s) on AGR recommend(s) that the measure be deferred.
2026,HB1830,introduced,H,"Referred to AGR, FIN, referral sheet 1"
2026,HB1831,crossoverWaiting1,S,Passed First Reading.
2026,HB1832,crossoverWaiting2,H,"Forty-eight (48) hours notice Tuesday,  03-10-26."
2026,HB1874,deferred1,H,The committee(s) on LAB recommend(s) that the measure be deferred.
2026,HB1880,crossoverDeferred1,H,"Reported from JHA (Stand. Com. Rep. No. 1106-26) as amended in HD 3, recommending passage on Third Reading."
2025,HB189 HD1,waiting2,H,Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with none voting aye with reservations; none voting no (0) and Representative(s) Ward excused (1).
2025,HB19,introduced,H,"Referred to TOU, LAB, FIN, referral sheet 1"
2025,HB190,introduced,H,"Referred to EDN, AGR, FIN, referral sheet 1"
2025,HB191,introduced,H,"Referred to EDN, AGR, FIN, referral sheet 1"
2025,HB192,introduced,H,"Referred to AGR/WAL, JHA, FIN, referral sheet 1"
2026,HB1929,passedCommittees,S,"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WAM were as follows: 13 Aye(s): Senator(s) Dela Cruz, Moriwaki, DeCoite, Elefante, Hashimoto, Inouye, Kanuha, Kidani, Kim, Lee, C., Richards, Wakai, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none."
2025,HB193,introduced,H,"Re-referred to AGR, JHA, referral sheet 4"
2026,HB1931,crossoverWaiting2,H,"Reported from FIN (Stand. Com. Rep. No. 932-26), recommending passage on Third Reading."
2026,HB1951,waiting3,H,"Reported from HED (Stand. Com. Rep. No. 124-26) as amended in HD 1, recommending passage on Second Reading and referral to AGR."
2026,HB1952,passedCommittees,S,The committee(s) on WAM will hold a public decision making on 04-06-26 10:32AM; Conference Room 211 & Videoconference.
2026,HB1953,crossoverWaiting2,H,"Reported from FIN (Stand. Com. Rep. No. 924-26), recommending passage on Third Reading."
2026,HB2014,introduced,H,"Referred to AGR, CPC, referral sheet 3"
2026,HB2015,crossoverWaiting2,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Quinlan, Sayama excused (3).  Transmitted to Senate."
2026,HB2017,crossoverWaiting2,H,"Reported from FIN (Stand. Com. Rep. No. 1026-26) as amended in HD 3, recommending passage on Third Reading."
2026,HB2032,introduced,H,"Referred to ECD, FIN, referral sheet 3"
2026,HB2047,crossoverWaiting1,H,"Forty-eight (48) hours notice Tuesday,  03-10-26."
2026,HB2119,crossoverWaiting2,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2026,HB2135,introduced,H,"Referred to AGR, ECD, FIN, referral sheet 4"
2026,HB2139,crossoverDeferred2,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB2152,passedCommittees,S,"The committee(s) on  JDC recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDC were as follows: 4 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Awa."
2026,HB2155,crossoverWaiting2,H,"Reported from FIN (Stand. Com. Rep. No. 1027-26) as amended in HD 2, recommending passage on Third Reading."
2026,HB2176,introduced,H,"Referred to LMG, FIN, referral sheet 5"
2026,HB2207,passedCommittees,S,The committee(s) on WAM will hold a public decision making on 04-06-26 10:32AM; Conference Room 211 & Videoconference.
2026,HB2208,passedCommittees,S,The committee(s) on WAM will hold a public decision making on 04-06-26 10:32AM; Conference Room 211 & Videoconference.
2026,HB2216,crossoverWaiting2,S,The committee on WAM has deleted the measure from decision making scheduled on 04-09-26 10:55AM; CR 211 & Videoconference.
2026,HB2218,passedCommittees,S,48 Hrs. Notice 04-14-26.
2026,HB2229,waiting2,H,"Reported from HLT (Stand. Com. Rep. No. 353-26) as amended in HD 1, recommending passage on Second Reading and referral to CPC."
2026,HB2233,crossoverWaiting1,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2026,HB2246,passedCommittees,S,Reported from WAM (Stand. Com. Rep. No. 3630) with recommendation of passage on Third Reading.
2026,HB2296,passedCommittees,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB2300,passedCommittees,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB2310,passedCommittees,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB2317,introduced,H,"Referred to HLT, CPC, referral sheet 6"
2026,HB2338,passedCommittees,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB2374,waiting2,H,"Bill scheduled to be heard by EDN on Tuesday, 02-10-26 2:15PM in House conference room 309 VIA VIDEOCONFERENCE."
2026,HB2377,introduced,H,"Referred to AGR, WAL, FIN, referral sheet 6"
2026,HB2404,waiting2,H,"Referred to CPC, JHA, referral sheet 6"
2026,HB2424,crossoverDeferred1,H,"Forty-eight (48) hours notice Tuesday,  03-10-26."
2026,HB2425,waiting2,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with Representative(s) Perruso, Poepoe voting aye with reservations; Representative(s) Amato, Cochran voting no (2) and none excused (0)."
2026,HB2457,waiting2,H,"Bill scheduled to be heard by PBS on Wednesday, 02-11-26 8:40AM in House conference room 411 VIA VIDEOCONFERENCE."
2026,HB2458,crossoverWaiting2,H,"Reported from JHA (Stand. Com. Rep. No. 1128-26) as amended in HD 3, recommending passage on Third Reading."
2026,HB2459,crossoverWaiting1,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2026,HB2495,introduced,H,"Referred to AGR, HSG, FIN, referral sheet 6"
2026,HB2496,introduced,H,"Referred to AGR, TRN, FIN, referral sheet 6"
2026,HB2497,waiting2,H,"Referred to AGR, JHA, referral sheet 6"
2026,HB2509,introduced,H,"Referred to HSH, FIN, referral sheet 6"
2026,HB2521,introduced,H,"Referred to ECD, FIN, referral sheet 6"
2026,HB2548,crossoverWaiting2,H,"Reported from FIN (Stand. Com. Rep. No. 930-26), recommending passage on Third Reading."
2026,HB2549,crossoverWaiting2,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate."
2026,HB2550,introduced,H,"Referred to AGR, JHA, FIN, referral sheet 6"
2026,HB2551,passedCommittees,S,"The committee(s) on WAM recommend(s) that the measure be PASSED, UNAMENDED.  The votes in WAM were as follows: 12 Aye(s): Senator(s) Dela Cruz, Moriwaki, DeCoite, Elefante, Hashimoto, Inouye, Kanuha, Kidani, Kim, Richards, Wakai, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Lee, C.."
2026,HB2555,introduced,H,"Referred to ECD, FIN, referral sheet 6"
2026,HB2571,introduced,H,"Referred to AGR, FIN, referral sheet 6"
2026,HB2572,waiting2,H,"Referred to AGR, FIN, referral sheet 6"
2026,HB2573,waiting2,H,"Reported from AGR (Stand. Com. Rep. No. 40-26) as amended in HD 1, recommending passage on Second Reading and referral to HED."
2026,HB2585,crossoverWaiting2,H,"Forty-eight (48) hours notice Tuesday,  03-10-26."
2026,HB2594,crossoverWaiting2,H,"Reported from FIN (Stand. Com. Rep. No. 927-26), recommending passage on Third Reading."
2026,HB2595,crossoverWaiting2,H,"Reported from FIN (Stand. Com. Rep. No. 929-26), recommending passage on Third Reading."
2026,HB2596,deferred1,H,The committee(s) on AGR recommend(s) that the measure be deferred.
2026,HB2599,passedCommittees,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.
2026,HB2603,waiting2,H,"Bill scheduled to be heard by ECD on Wednesday, 02-11-26 8:30AM in House conference room 423 VIA VIDEOCONFERENCE."
2026,HB2619,crossoverWaiting2,H,"Reported from CPC (Stand. Com. Rep. No. 1062-26) as amended in HD 2, recommending passage on Third Reading."
2025,HB281,scheduled1,H,"Referred to HLT, ECD, FIN, referral sheet 1"
2025,HB299 HD1 SD1,crossoverWaiting2,S,"Referred to WTL/AEN, WAM."
2025,HB305,deferred1,H,The committee(s) on WAL recommend(s) that the measure be deferred.
2025,HB309 HD1 SD1,conferenceDeferred,S,"Report adopted; Passed Third Reading, as amended (SD  1). Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House."
2025,HB328 HD1,waiting3,H,"The committee on AGR recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB335,introduced,H,"Referred to EDN, FIN, referral sheet 1"
2025,HB345 HD2 SD1 CD1,governorSigns,S,Received notice of passage on Final Reading in House (Hse. Com. No. 821).
2025,HB347,deferred1,H,The committee(s) on WAL recommend(s) that the measure be deferred.
2025,HB360,introduced,H,"Referred to WAL, FIN, referral sheet 1"
2025,HB365 HD1,waiting2,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE."
2025,HB379 HD2,waiting3,H,"Bill scheduled to be heard by WAL on Tuesday, 02-11-25 10:00AM in House conference room 411 VIA VIDEOCONFERENCE."
2025,HB404,introduced,H,"Referred to EEP, WAL, FIN, referral sheet 1"
2025,HB424 HD2,deferred2,S,"Referred to EDU, WAM."
2025,HB427 HD2 SD2 CD1,governorSigns,H,"Act 236, on 06/27/2025 (Gov. Msg. No. 1338)."
2025,HB428 HD1 SD1,conferenceDeferred,S,Received notice of disagreement (Hse. Com. No. 559).
2025,HB436,introduced,H,Introduced and Pass First Reading.
2025,HB452 HD1,waiting2,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Ward excused (2)."
2025,HB456,introduced,H,Introduced and Pass First Reading.
2025,HB465,introduced,H,Introduced and Pass First Reading.
2025,HB47 HD2,waiting3,H,"The committee on CPC recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 10 Ayes: Representative(s) Matayoshi, Chun, Ilagan, Ichiyama, Iwamoto, Kong, Lowen, Marten, Tam, Pierick; Ayes with reservations: none;  Noes: none; and  Excused: none."
2025,HB48 HD2 SD1,conferenceAssigned,H,House disagrees with Senate amendment (s).
2025,HB496 HD2 SD1 CD1,governorSigns,H,Notice of intent to veto (Gov. Msg. No. 1301)
2025,HB497 HD2,waiting2,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB498 HD2,waiting3,H,"Bill scheduled to be heard by JHA on Tuesday, 02-11-25 2:00PM in House conference room 325 VIA VIDEOCONFERENCE."
2025,HB499 HD1,waiting2,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Ward excused (2)."
2025,HB500,introduced,H,"Referred to HED, FIN, referral sheet 2"
2025,HB501 HD2,waiting3,H,"The committee on JHA recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 10 Ayes: Representative(s) Tarnas, Poepoe, Belatti, Cochran, Hashem, Kahaloa, Perruso, Takayama, Todd; Ayes with reservations: Representative(s) Shimizu;  Noes: none; and 1 Excused: Representative(s) Garcia."
2025,HB502 HD1,deferred2,H,The committee(s) on JHA recommend(s) that the measure be deferred.
2025,HB530,deferred1,H,The committee(s) on AGR recommend(s) that the measure be deferred.
2025,HB534 HD2 SD1 CD1,governorSigns,S,"Act 238, 06/27/2025 (Gov. Msg. No. 1340)."
2025,HB539,scheduled1,H,Introduced and Pass First Reading.
2025,HB555 HD1,waiting2,H,"The committee on LAB recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Sayama, Garrett, Kapela; Ayes with reservations: Representative(s) Lee, M., Reyes Oda; 1 Noes: Representative(s) Kong; and  Excused: none."
2025,HB572 HD1,waiting2,H,"The committee on ECD recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 7 Ayes: Representative(s) Ilagan, Hussey, Holt, Tam, Templo, Todd, Matsumoto; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none."
2025,HB643 HD2 SD1,passedCommittees,S,Received notice of disagreement (Hse. Com. No. 559).
2025,HB644,introduced,H,Introduced and Pass First Reading.
2025,HB685 HD1,waiting2,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE."
2025,HB687,introduced,H,"Referred to HSH, FIN, referral sheet 2"
2025,HB690,introduced,H,"Referred to WAL, ECD, FIN, referral sheet 2"
2025,HB696,scheduled1,H,Introduced and Pass First Reading.
2025,HB704,introduced,H,"Referred to HSH, FIN, referral sheet 2"
2025,HB750 HD2 SD1 CD1,governorSigns,H,"Act 103, on 05/27/2025 (Gov. Msg. No. 1203)."
2025,HB757 HD1,waiting2,H,"Bill scheduled to be heard by EDN on Tuesday, 02-11-25 2:01PM in House conference room 309 VIA VIDEOCONFERENCE."
2025,HB760 HD1,waiting2,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with Representative(s) Reyes Oda voting aye with reservations; Representative(s) Alcos, Garcia, Muraoka, Pierick, Shimizu voting no (5) and Representative(s) Ward excused (1)."
2025,HB773 HD1 SD1,conferenceDeferred,S,"Report adopted; Passed Third Reading.  Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House."
2025,HB774 HD2 SD1 CD1,governorSigns,S,"Act 237, 06/27/2025 (Gov. Msg. No. 1339)."
2025,HB775 HD1,waiting2,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE."
2025,HB776 HD1,waiting2,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB777,introduced,H,"Referred to WAL/AGR, ECD, JHA, referral sheet 2"
2025,HB778 HD2 SD1 CD1,governorSigns,H,"Act 187, on 06/06/2025 (Gov. Msg. No. 1287)."
2025,HB782 HD1 SD1,conferenceDeferred,S,"Report adopted; Passed Third Reading.  Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House."
2025,HB783 HD1,waiting2,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE."
2025,HB812 HD1,waiting2,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB828,introduced,H,"Referred to LAB, HLT, FIN, referral sheet 3"
2025,HB845,introduced,H,Introduced and Pass First Reading.
2025,HB856,introduced,H,"Referred to HED, FIN, referral sheet 3"
2025,HB858 HD1 SD1,crossoverWaiting2,S,The committee(s) on AEN has scheduled a public hearing on 03-10-25 1:01PM; Conference Room 224 & Videoconference.
2025,HB859 HD1,waiting2,H,"Reported from AGR (Stand. Com. Rep. No. 156) as amended in HD 1, recommending passage on Second Reading and referral to JHA."
2025,HB86 HD2 SD1,conferenceScheduled,S,"Report adopted; Passed Third Reading, as amended (SD  1). Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House."
2025,HB87,introduced,H,"Referred to EDN, FIN, referral sheet 1"
2025,HB873,introduced,H,Introduced and Pass First Reading.
2025,HB884,introduced,H,Introduced and Pass First Reading.
2025,HB912 HD1,waiting2,H,"Reported from AGR (Stand. Com. Rep. No. 81) as amended in HD 1, recommending passage on Second Reading and referral to WAL."
2025,HB929,deferred1,H,The committee(s) on WAL recommend(s) that the measure be deferred.
2025,HB92 HD2,waiting2,H,"The committee recommends that the measure pass with amendments, for recommittal for further consideration. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan;  Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB933 HD1,deferred2,H,The committee(s) on ECD recommend(s) that the measure be deferred.
2025,HB946,introduced,H,"Referred to EEP, ECD, FIN, referral sheet 3"
2025,HB966 HD2,crossoverWaiting1,S,"Referred to AEN/WTL/EDT/EIG, WAM."
2025,HB967 HD1,waiting2,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB968 HD1,waiting2,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward."
2025,HB975 HD1,waiting2,H,"Reported from EEP (Stand. Com. Rep. No. 768) as amended in HD 1, recommending passage on Second Reading and referral to FIN."
2025,HB980 HD1,introduced,S,"Referred to AEN, JDC."
2025,HB984 HD2 SD1 CD1,governorSigns,S,Received notice of passage on Final Reading in House (Hse. Com. No. 821).
