year,bill,latest_update_chamber,latest_update_text,gold,predicted
2026,HB1518,S,"The committee(s) on JDC recommend(s) that the measure be PASSED, UNAMENDED.  The votes in JDC were as follows: 5 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",passedCommittees,passedCommittees
2026,HB1561,H,"Bill scheduled to be heard by EDN on Tuesday, 02-10-26 2:15PM in House conference room 309 VIA VIDEOCONFERENCE.",waiting2,waiting2
2026,HB1570,H,"Referred to AGR/EEP, CPC, FIN, referral sheet 1",introduced,introduced
2026,HB1571,H,The committee(s) on CPC recommend(s) that the measure be deferred.,deferred2,deferred2
2026,HB1572,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting2,crossoverWaiting2
2026,HB1585,H,"Referred to HSH, ECD, FIN, referral sheet 1",introduced,introduced
2026,HB1596,H,"Reported from FIN (Stand. Com. Rep. No. 997-26), recommending passage on Third Reading.",crossoverWaiting1,crossoverWaiting1
2026,HB1601,H,"Forty-eight (48) hours notice Tuesday,  03-10-26.",crossoverWaiting2,crossoverWaiting2
2026,HB1602,H,"Bill scheduled to be heard by AGR on Wednesday, 02-11-26 9:30AM in House conference room 325 VIA VIDEOCONFERENCE.",deferred2,deferred2
2026,HB1603,S,The committee on JDC deferred the measure.,crossoverDeferred2,crossoverDeferred2
2026,HB1604,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting2,crossoverWaiting2
2026,HB1605,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverDeferred2
2026,HB1606,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with Representative(s) Alcos, Gedeon, Matsumoto, Reyes Oda, Shimizu voting aye with reservations; Representative(s) Amato, Garcia, Muraoka, Perruso, Pierick voting no (5) and Representative(s) Kitagawa excused (1).",waiting2,waiting2
2026,HB1611,H,"Bill scheduled to be heard by ECD on Wednesday, 02-11-26 8:30AM in House conference room 423 VIA VIDEOCONFERENCE.",deferred2,deferred2
2026,HB1616,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Iwamoto voting no (1) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting2,crossoverWaiting2
2026,HB1617,H,"Reported from EEP/AGR (Stand. Com. Rep. No. 452-26) as amended in HD 1, recommending passage on Second Reading and referral to FIN.",waiting2,waiting2
2026,HB1621,H,"The committee on EEP recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 6 Ayes: Representative(s) Lowen, Perruso, Chun, Kahaloa, Kusch, Matsumoto; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Quinlan.",waiting2,waiting2
2026,HB1652,H,"The committee on WAL recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 9 Ayes: Representative(s) Hashem, Morikawa, Belatti, Ichiyama, Poepoe, Woodson, Souza; Ayes with reservations: Representative(s) Iwamoto, Shimizu;  Noes: none; and  Excused: none.",deferred2,deferred2
2026,HB1699,H,This measure has been deleted from the meeting scheduled on Tuesday 02-03-26 9:00AM in conference room 329 VIA VIDEOCONFERENCE.,introduced,introduced
2026,HB1703,H,"Reported from WAL (Stand. Com. Rep. No. 53-26) as amended in HD 1, recommending passage on Second Reading and referral to CAA.",waiting3,waiting3
2026,HB1707,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverDeferred2
2026,HB1737,S,"The committee(s) on  JDC recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDC were as follows: 5 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",passedCommittees,crossoverWaiting3
2026,HB1738,H,"Reported from JHA (Stand. Com. Rep. No. 1197-26) as amended in HD 2, recommending passage on Third Reading.",crossoverDeferred1,crossoverDeferred1
2026,HB1747,H,The committee(s) on HSH recommend(s) that the measure be deferred.,deferred1,deferred1
2026,HB1754,H,"Referred to ECD, HLT, FIN, referral sheet 1",introduced,introduced
2026,HB1766,H,"Referred to AGR/EEP, FIN, referral sheet 1",introduced,introduced
2026,HB1779,H,"Passed Third Reading with Representative(s) Alcos voting aye with reservations; Representative(s) Garcia, Shimizu voting no (2) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting1,crossoverWaiting1
2025,HB180,H,"Referred to HSH, ECD, FIN, referral sheet 1",introduced,introduced
2026,HB1817,H,"Reported from WAL (Stand. Com. Rep. No. 710-26) as amended in HD 1, recommending passage on Second Reading and referral to JHA.",waiting2,waiting2
2026,HB1823,S,"The committee(s) on  JDC recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDC were as follows: 5 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura, Awa; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",passedCommittees,passedCommittees
2026,HB1828,H,The committee(s) on AGR recommend(s) that the measure be deferred.,deferred1,deferred1
2026,HB1830,H,"Referred to AGR, FIN, referral sheet 1",introduced,introduced
2026,HB1831,S,Passed First Reading.,crossoverWaiting1,crossoverWaiting1
2026,HB1832,H,"Forty-eight (48) hours notice Tuesday,  03-10-26.",crossoverWaiting2,crossoverWaiting2
2026,HB1874,H,The committee(s) on LAB recommend(s) that the measure be deferred.,deferred1,deferred1
2026,HB1880,H,"Reported from JHA (Stand. Com. Rep. No. 1106-26) as amended in HD 3, recommending passage on Third Reading.",crossoverDeferred1,crossoverWaiting2
2025,HB189 HD1,H,Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with none voting aye with reservations; none voting no (0) and Representative(s) Ward excused (1).,waiting2,waiting2
2025,HB19,H,"Referred to TOU, LAB, FIN, referral sheet 1",introduced,introduced
2025,HB190,H,"Referred to EDN, AGR, FIN, referral sheet 1",introduced,introduced
2025,HB191,H,"Referred to EDN, AGR, FIN, referral sheet 1",introduced,introduced
2025,HB192,H,"Referred to AGR/WAL, JHA, FIN, referral sheet 1",introduced,introduced
2026,HB1929,S,"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WAM were as follows: 13 Aye(s): Senator(s) Dela Cruz, Moriwaki, DeCoite, Elefante, Hashimoto, Inouye, Kanuha, Kidani, Kim, Lee, C., Richards, Wakai, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.",passedCommittees,passedCommittees
2025,HB193,H,"Re-referred to AGR, JHA, referral sheet 4",introduced,introduced
2026,HB1931,H,"Reported from FIN (Stand. Com. Rep. No. 932-26), recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2026,HB1951,H,"Reported from HED (Stand. Com. Rep. No. 124-26) as amended in HD 1, recommending passage on Second Reading and referral to AGR.",waiting3,waiting3
2026,HB1952,S,The committee(s) on WAM will hold a public decision making on 04-06-26 10:32AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverScheduled2
2026,HB1953,H,"Reported from FIN (Stand. Com. Rep. No. 924-26), recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2026,HB2014,H,"Referred to AGR, CPC, referral sheet 3",introduced,introduced
2026,HB2015,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Quinlan, Sayama excused (3).  Transmitted to Senate.",crossoverWaiting2,crossoverWaiting2
2026,HB2017,H,"Reported from FIN (Stand. Com. Rep. No. 1026-26) as amended in HD 3, recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2026,HB2032,H,"Referred to ECD, FIN, referral sheet 3",introduced,introduced
2026,HB2047,H,"Forty-eight (48) hours notice Tuesday,  03-10-26.",crossoverWaiting1,crossoverDeferred1
2026,HB2119,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting2,crossoverWaiting2
2026,HB2135,H,"Referred to AGR, ECD, FIN, referral sheet 4",introduced,introduced
2026,HB2139,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,crossoverDeferred2,crossoverDeferred2
2026,HB2152,S,"The committee(s) on  JDC recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDC were as follows: 4 Aye(s): Senator(s) Rhoads, Gabbard, Chang, San Buenaventura; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Awa.",passedCommittees,passedCommittees
2026,HB2155,H,"Reported from FIN (Stand. Com. Rep. No. 1027-26) as amended in HD 2, recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2026,HB2176,H,"Referred to LMG, FIN, referral sheet 5",introduced,introduced
2026,HB2207,S,The committee(s) on WAM will hold a public decision making on 04-06-26 10:32AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverScheduled2
2026,HB2208,S,The committee(s) on WAM will hold a public decision making on 04-06-26 10:32AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverScheduled2
2026,HB2216,S,The committee on WAM has deleted the measure from decision making scheduled on 04-09-26 10:55AM; CR 211 & Videoconference.,crossoverWaiting2,crossoverDeferred2
2026,HB2218,S,48 Hrs. Notice 04-14-26.,passedCommittees,passedCommittees
2026,HB2229,H,"Reported from HLT (Stand. Com. Rep. No. 353-26) as amended in HD 1, recommending passage on Second Reading and referral to CPC.",waiting2,waiting2
2026,HB2233,H,"Passed Third Reading with none voting aye with reservations; Representative(s) Pierick voting no (1) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting1,crossoverWaiting1
2026,HB2246,S,Reported from WAM (Stand. Com. Rep. No. 3630) with recommendation of passage on Third Reading.,passedCommittees,passedCommittees
2026,HB2296,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverDeferred2
2026,HB2300,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverDeferred2
2026,HB2310,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverDeferred2
2026,HB2317,H,"Referred to HLT, CPC, referral sheet 6",introduced,introduced
2026,HB2338,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverDeferred2
2026,HB2374,H,"Bill scheduled to be heard by EDN on Tuesday, 02-10-26 2:15PM in House conference room 309 VIA VIDEOCONFERENCE.",waiting2,waiting2
2026,HB2377,H,"Referred to AGR, WAL, FIN, referral sheet 6",introduced,introduced
2026,HB2404,H,"Referred to CPC, JHA, referral sheet 6",waiting2,waiting2
2026,HB2424,H,"Forty-eight (48) hours notice Tuesday,  03-10-26.",crossoverDeferred1,crossoverDeferred1
2026,HB2425,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on WAL with Representative(s) Perruso, Poepoe voting aye with reservations; Representative(s) Amato, Cochran voting no (2) and none excused (0).",waiting2,waiting2
2026,HB2457,H,"Bill scheduled to be heard by PBS on Wednesday, 02-11-26 8:40AM in House conference room 411 VIA VIDEOCONFERENCE.",waiting2,introduced
2026,HB2458,H,"Reported from JHA (Stand. Com. Rep. No. 1128-26) as amended in HD 3, recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting1
2026,HB2459,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting1,crossoverWaiting1
2026,HB2495,H,"Referred to AGR, HSG, FIN, referral sheet 6",introduced,introduced
2026,HB2496,H,"Referred to AGR, TRN, FIN, referral sheet 6",introduced,introduced
2026,HB2497,H,"Referred to AGR, JHA, referral sheet 6",waiting2,waiting2
2026,HB2509,H,"Referred to HSH, FIN, referral sheet 6",introduced,introduced
2026,HB2521,H,"Referred to ECD, FIN, referral sheet 6",introduced,introduced
2026,HB2548,H,"Reported from FIN (Stand. Com. Rep. No. 930-26), recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2026,HB2549,H,"Passed Third Reading with none voting aye with reservations; none voting no (0) and Representative(s) Perruso, Sayama excused (2).  Transmitted to Senate.",crossoverWaiting2,crossoverWaiting2
2026,HB2550,H,"Referred to AGR, JHA, FIN, referral sheet 6",introduced,introduced
2026,HB2551,S,"The committee(s) on WAM recommend(s) that the measure be PASSED, UNAMENDED.  The votes in WAM were as follows: 12 Aye(s): Senator(s) Dela Cruz, Moriwaki, DeCoite, Elefante, Hashimoto, Inouye, Kanuha, Kidani, Kim, Richards, Wakai, Fevella; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Lee, C..",passedCommittees,crossoverWaiting3
2026,HB2555,H,"Referred to ECD, FIN, referral sheet 6",introduced,introduced
2026,HB2571,H,"Referred to AGR, FIN, referral sheet 6",introduced,introduced
2026,HB2572,H,"Referred to AGR, FIN, referral sheet 6",waiting2,waiting2
2026,HB2573,H,"Reported from AGR (Stand. Com. Rep. No. 40-26) as amended in HD 1, recommending passage on Second Reading and referral to HED.",waiting2,waiting2
2026,HB2585,H,"Forty-eight (48) hours notice Tuesday,  03-10-26.",crossoverWaiting2,crossoverWaiting2
2026,HB2594,H,"Reported from FIN (Stand. Com. Rep. No. 927-26), recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2026,HB2595,H,"Reported from FIN (Stand. Com. Rep. No. 929-26), recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2026,HB2596,H,The committee(s) on AGR recommend(s) that the measure be deferred.,deferred1,deferred1
2026,HB2599,S,The committee(s) on WAM deferred the measure until 04-06-26 10:31AM; Conference Room 211 & Videoconference.,passedCommittees,crossoverDeferred2
2026,HB2603,H,"Bill scheduled to be heard by ECD on Wednesday, 02-11-26 8:30AM in House conference room 423 VIA VIDEOCONFERENCE.",waiting2,waiting2
2026,HB2619,H,"Reported from CPC (Stand. Com. Rep. No. 1062-26) as amended in HD 2, recommending passage on Third Reading.",crossoverWaiting2,crossoverWaiting2
2025,HB281,H,"Referred to HLT, ECD, FIN, referral sheet 1",scheduled1,introduced
2025,HB299 HD1 SD1,S,"Referred to WTL/AEN, WAM.",crossoverWaiting2,crossoverWaiting2
2025,HB305,H,The committee(s) on WAL recommend(s) that the measure be deferred.,deferred1,deferred1
2025,HB309 HD1 SD1,S,"Report adopted; Passed Third Reading, as amended (SD  1). Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.",conferenceDeferred,conferenceScheduled
2025,HB328 HD1,H,"The committee on AGR recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting3,waiting3
2025,HB335,H,"Referred to EDN, FIN, referral sheet 1",introduced,introduced
2025,HB345 HD2 SD1 CD1,S,Received notice of passage on Final Reading in House (Hse. Com. No. 821).,governorSigns,governorSigns
2025,HB347,H,The committee(s) on WAL recommend(s) that the measure be deferred.,deferred1,deferred1
2025,HB360,H,"Referred to WAL, FIN, referral sheet 1",introduced,introduced
2025,HB365 HD1,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE.",waiting2,waiting2
2025,HB379 HD2,H,"Bill scheduled to be heard by WAL on Tuesday, 02-11-25 10:00AM in House conference room 411 VIA VIDEOCONFERENCE.",waiting3,waiting3
2025,HB404,H,"Referred to EEP, WAL, FIN, referral sheet 1",introduced,introduced
2025,HB424 HD2,S,"Referred to EDU, WAM.",deferred2,crossoverWaiting1
2025,HB427 HD2 SD2 CD1,H,"Act 236, on 06/27/2025 (Gov. Msg. No. 1338).",governorSigns,governorSigns
2025,HB428 HD1 SD1,S,Received notice of disagreement (Hse. Com. No. 559).,conferenceDeferred,conferenceScheduled
2025,HB436,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB452 HD1,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Ward excused (2).",waiting2,waiting2
2025,HB456,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB465,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB47 HD2,H,"The committee on CPC recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 10 Ayes: Representative(s) Matayoshi, Chun, Ilagan, Ichiyama, Iwamoto, Kong, Lowen, Marten, Tam, Pierick; Ayes with reservations: none;  Noes: none; and  Excused: none.",waiting3,waiting3
2025,HB48 HD2 SD1,H,House disagrees with Senate amendment (s).,conferenceAssigned,conferenceAssigned
2025,HB496 HD2 SD1 CD1,H,Notice of intent to veto (Gov. Msg. No. 1301),governorSigns,governorSigns
2025,HB497 HD2,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting3
2025,HB498 HD2,H,"Bill scheduled to be heard by JHA on Tuesday, 02-11-25 2:00PM in House conference room 325 VIA VIDEOCONFERENCE.",waiting3,waiting3
2025,HB499 HD1,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with none voting aye with reservations; none voting no (0) and Representative(s) Cochran, Ward excused (2).",waiting2,waiting2
2025,HB500,H,"Referred to HED, FIN, referral sheet 2",introduced,introduced
2025,HB501 HD2,H,"The committee on JHA recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 10 Ayes: Representative(s) Tarnas, Poepoe, Belatti, Cochran, Hashem, Kahaloa, Perruso, Takayama, Todd; Ayes with reservations: Representative(s) Shimizu;  Noes: none; and 1 Excused: Representative(s) Garcia.",waiting3,waiting3
2025,HB502 HD1,H,The committee(s) on JHA recommend(s) that the measure be deferred.,deferred2,deferred2
2025,HB530,H,The committee(s) on AGR recommend(s) that the measure be deferred.,deferred1,deferred1
2025,HB534 HD2 SD1 CD1,S,"Act 238, 06/27/2025 (Gov. Msg. No. 1340).",governorSigns,governorSigns
2025,HB539,H,Introduced and Pass First Reading.,scheduled1,introduced
2025,HB555 HD1,H,"The committee on LAB recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Sayama, Garrett, Kapela; Ayes with reservations: Representative(s) Lee, M., Reyes Oda; 1 Noes: Representative(s) Kong; and  Excused: none.",waiting2,waiting2
2025,HB572 HD1,H,"The committee on ECD recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 7 Ayes: Representative(s) Ilagan, Hussey, Holt, Tam, Templo, Todd, Matsumoto; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.",waiting2,waiting2
2025,HB643 HD2 SD1,S,Received notice of disagreement (Hse. Com. No. 559).,passedCommittees,conferenceAssigned
2025,HB644,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB685 HD1,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE.",waiting2,waiting2
2025,HB687,H,"Referred to HSH, FIN, referral sheet 2",introduced,introduced
2025,HB690,H,"Referred to WAL, ECD, FIN, referral sheet 2",introduced,introduced
2025,HB696,H,Introduced and Pass First Reading.,scheduled1,introduced
2025,HB704,H,"Referred to HSH, FIN, referral sheet 2",introduced,introduced
2025,HB750 HD2 SD1 CD1,H,"Act 103, on 05/27/2025 (Gov. Msg. No. 1203).",governorSigns,governorSigns
2025,HB757 HD1,H,"Bill scheduled to be heard by EDN on Tuesday, 02-11-25 2:01PM in House conference room 309 VIA VIDEOCONFERENCE.",waiting2,waiting2
2025,HB760 HD1,H,"Passed Second Reading as amended in HD 1 and referred to the committee(s) on ECD with Representative(s) Reyes Oda voting aye with reservations; Representative(s) Alcos, Garcia, Muraoka, Pierick, Shimizu voting no (5) and Representative(s) Ward excused (1).",waiting2,waiting2
2025,HB773 HD1 SD1,S,"Report adopted; Passed Third Reading.  Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.",conferenceDeferred,conferenceScheduled
2025,HB774 HD2 SD1 CD1,S,"Act 237, 06/27/2025 (Gov. Msg. No. 1339).",governorSigns,governorSigns
2025,HB775 HD1,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE.",waiting2,waiting2
2025,HB776 HD1,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting2
2025,HB777,H,"Referred to WAL/AGR, ECD, JHA, referral sheet 2",introduced,introduced
2025,HB778 HD2 SD1 CD1,H,"Act 187, on 06/06/2025 (Gov. Msg. No. 1287).",governorSigns,governorSigns
2025,HB782 HD1 SD1,S,"Report adopted; Passed Third Reading.  Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.",conferenceDeferred,conferenceScheduled
2025,HB783 HD1,H,"Bill scheduled to be heard by AGR on Wednesday, 02-12-25 9:30AM in House conference room 325 VIA VIDEOCONFERENCE.",waiting2,waiting2
2025,HB812 HD1,H,"The committee on AGR recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 5 Ayes: Representative(s) Kahaloa, Kusch, Lowen, Perruso, Quinlan; Ayes with reservations: none;  Noes: none; and 1 Excused: Representative(s) Ward.",waiting2,waiting2
2025,HB828,H,"Referred to LAB, HLT, FIN, referral sheet 3",introduced,introduced
2025,HB845,H,Introduced and Pass First Reading.,introduced,introduced
2025,HB856,H,"Referred to HED, FIN, referral sheet 3",introduced,introduced
